DEPTH,FEATURE0,FEATURE1
130.47439805237772,562,1209
130.48547646244776,561,1185
130.49655487251783,564,1226
130.50763328258788,562,1200
130.51871169265792,564,1232
130.529790102728,482,1238
130.54086851279803,570,1239
130.55194692286807,567,1220
130.56302533293814,567,1177
130.57410374300818,573,1242
130.58518215307822,571,1216
130.5962605631483,574,1246
130.60733897321833,573,1201
130.6184173832884,572,1217
130.62949579335844,578,1245
130.64057420342849,576,1251
130.65165261349856,574,1259
130.6627310235686,576,1259
130.67380943363864,574,1263
130.6848878437087,557,1263
130.69596625377875,574,1244
130.7070446638488,576,1265
130.71812307391886,577,1251
130.7292014839889,579,1240
130.74027989405894,578,1247
130.751358304129,578,1236
130.76243671419905,576,1193
130.77351512426912,578,1217
130.78459353433917,577,1216
130.7956719444092,575,1185
130.80675035447928,579,1216
130.81782876454932,575,1215
130.82890717461936,579,1214
130.83998558468943,576,1169
130.85106399475947,575,1220
130.8621424048295,401,1185
130.87322081489958,541,1221
130.88429922496962,576,1222
130.89537763503967,577,1223
130.90645604510973,579,1223
130.91753445517978,581,1216
130.92861286524982,585,1154
130.9396912753199,582,1225
130.95076968538993,585,1201
130.96184809545997,584,1169
130.97292650553004,582,1162
130.98400491560008,585,1224
130.99508332567015,586,1216
131.0061617357402,589,1169
131.01724014581023,579,1177
131.0283185558803,144,1224
131.03939696595035,586,1123
131.05047537602042,585,1123
131.06155378609046,588,1130
131.0726321961605,588,1225
131.08371060623057,589,1226
131.0947890163006,591,1226
131.10586742637065,584,1232
131.11694583644072,571,1231
131.12802424651076,585,1169
131.1391026565808,583,1138
131.15018106665087,583,1200
131.16125947672091,582,1246
131.17233788679096,579,1247
131.18341629686103,580,1208
131.19449470693107,583,1177
131.2055731170011,153,1170
131.21665152707118,440,1109
131.22772993714122,579,1109
131.23880834721126,581,1110
131.24988675728133,479,1122
131.26096516735137,580,1153
131.27204357742144,558,1208
131.28312198749148,582,1240
131.29420039756153,557,1247
131.3052788076316,588,1246
131.31635721770164,590,1246
131.32743562777168,594,1185
131.33851403784175,602,1153
131.3495924479118,598,1185
131.36067085798183,604,1247
131.3717492680519,605,1224
131.38282767812194,589,1232
131.39390608819198,602,1232
131.40498449826205,251,1110
131.4160629083321,615,1249
131.42714131840216,619,1193
131.4382197284722,628,1258
131.44929813854225,558,1201
131.46037654861232,573,1248
131.47145495868236,645,1153
131.4825333687524,640,1243
131.49361177882247,604,1224
131.5046901888925,651,1234
131.51576859896255,661,1217
131.52684700903262,664,1241
131.53792541910266,668,1237
131.5490038291727,673,1234
131.56008223924277,676,1226
131.57116064931282,672,1225
131.58223905938286,669,1176
131.59331746945293,681,1223
131.60439587952297,557,1146
131.61547428959304,701,1222
131.62655269966308,705,1226
131.63763110973312,706,1223
131.6487095198032,719,1223
131.65978792987323,716,1226
